"Test-Projekt ID","Test-Projekt Name","Test-Projekt Owner","Test-Projekt Owner ID",Email,"Secondary Email","Created By","Created by ID","Modified By","Modified by ID","Created Time","Modified Time","Last Activity Time","Email Opt Out",Tag,Projektidee,Themenkategorie,Status,Ort,Fortschritt,Projektname,"CustomModule3 Id",Vorname
zcrm_70390000001477644,Paul,test,zcrm_70390000001473010,paul@paul.paul,,test,zcrm_70390000001473010,"Ivo Degn",zcrm_70390000000096001,"2018-06-05 15:40:50","2018-07-09 11:51:46","2018-07-09 11:51:46",false,,,,,,,,,
zcrm_70390000001719187,Parsons,test,zcrm_70390000001473010,test@projecttogether.org,,"Ivo Degn",zcrm_70390000000096001,"Ivo Degn",zcrm_70390000000096001,"2018-07-09 11:36:29","2018-07-09 11:51:46","2018-07-09 11:51:46",false,,"Im Schulprojekt „Herausforderung“ suchen sich Schüler (Klasse 8/9) in Kleingruppen eine Herausforderung, die sie meistern wollen. Dazu bekommen sie 17 Tage Schulzeit und 150 Euro pro Person. Sie werden dabei von Studenten begleitet, die nur im Notfall eingreifen.
Ob Fahrradtrip, Kanutour, Leben auf dem Bauernhof oder Aufenthalt im Schweigekloster – alles ist möglich. Es gibt nur eine Voraussetzung: Sie müssen ihre Lehrer überzeugen, wieso sie genau mit diesem Projektvorhaben ihren Herzenswünschen, Träumen und Sehnsüchten näher kommen.
Für das Projekt werden (meist studentische) Begleiter gesucht, die als angehende Pädagogen viel über sich und ihren Umgang, ihre Haltung mit Jugendlichen lernen. Dies stellt einen extrem wichtigen Schritt für die Professionalisierung als Pädagogen dar, da sie lernen Verantwortung an die Jugendlichen abzugeben und ihnen in Scheitersituation zutrauen müssen, dass sie es schaffen.
Ich möchte das Schulprojekt verbinden mit einer Führungskräfteausbildung analog zu dem Adaptive Leadership Konzept der Harvard University. (Angehende) Führungskräfte durchlaufen diese Ausbildung und begleiten später die Jugendlichen im Projekt und bekommen so Feedback zu ihren (teils unbewussten) Verhaltens- und Haltungsmustern. Dieses Feedback ist enorm wichtig, weil sie es im Arbeitskontext nur selten bekommen. Außerdem ist die Idee ein Novum in der vertikalen Führungskräfteentwicklung, da es auf Erfahrungslernen basiert. Teams in Unternehmen sollen darüberhinaus bei der Durchführung eigener Herausforderungsprojekte innerhalb eines Führungskräfteprogramms begleitet werden.","Hochwertige Bildung",,Potsdam,,"eDUCO - Challenging Educational Design",70390000001712052,"Jorge  "
zcrm_70390000001719188,Chaney,test,zcrm_70390000001473010,test@projecttogether.org,,"Ivo Degn",zcrm_70390000000096001,"Ivo Degn",zcrm_70390000000096001,"2018-07-09 11:36:29","2018-07-09 11:51:46","2018-07-09 11:51:46",false,,"Ich arbeite an einem Projekt zur Erhöhung der Vegetation in städtischen Umgebungen (drinnen und draußen) und entlang von Straßen und Bahnlinien. Mein Ziel ist es, mit Kletterpflanzen wie Ivy schnell und kostengünstig grüne Städte, Straßen und Bahnstrecken zu erschließen.","Maßnahmen zum Klimaschutz",,München,,"Rentbar und nachhaltige Stadtbegrünung",70390000001674085,"Donya  "
zcrm_70390000001719189,Neal,test,zcrm_70390000001473010,test@projecttogether.org,,"Ivo Degn",zcrm_70390000000096001,"Ivo Degn",zcrm_70390000000096001,"2018-07-09 11:36:29","2018-07-09 11:51:46","2018-07-09 11:51:46",false,,"Kleiderei - der unendliche Kleiderschrank. Kleidung wird im Monatspaket gemietet. Das Paket wird für die Kundin persönlich kuratiert.","Nachhaltige/r Konsum und Produktion",,Hamburg,,Kleiderei,70390000001638040,"Barbra  "
zcrm_70390000001719190,Mooney,test,zcrm_70390000001473010,test@projecttogether.org,,"Ivo Degn",zcrm_70390000000096001,"Ivo Degn",zcrm_70390000000096001,"2018-07-09 11:36:29","2018-07-09 11:51:46","2018-07-09 11:51:46",false,,"Wir sind eine Gruppe von Menschen, die Bildung anders machen wollen: selbstbestimmt, frei, konstruktiv und zukunftsweisend!

Wir unterwegs sein: zu Fuß, mit dem Fahrrad, im eigenen Auto oder trampend; in Natur und Großstadt übernachten wir auf der freien Wiese, im Zelt oder auf der Couch. Unterwegs zu neuem Wissen zu den globalen Herausforderungen unserer Zeit wollen wir auf der Reise lernen, wie unsere Welt und Gesellschaft funktioniert, was sich verändern muss und wie es weiter gehen kann!
Dazu besuchen wir Experten, Projekte und Gemeinschaften, von denen wir lernen können, wie theoretisch und ganz praktisch Veränderung entstehen kann. Wir werden Interviews führen, in Dialog treten und einen Blog dabei schreiben. Jeder kann einen eigenen Schwerpunkt bei diesem Thema legen, welches uns täglich beschäftigen und dann gemeinsam reflektiert und ausgewertet wird. Dabei wollen wir Menschen vernetzen, eigene Workshops geben, neue Projekte initiieren und zeigen, dass Bildung lebensnah, lösungs- und zukunftsorientiert sein kann!",,"New Record - Haupt_Zielgruppe : Invalid data",,,,70390000001619201,"Julienne  "
zcrm_70390000001719191,Miranda,test,zcrm_70390000001473010,test@projecttogether.org,,"Ivo Degn",zcrm_70390000000096001,"Ivo Degn",zcrm_70390000000096001,"2018-07-09 11:36:29","2018-07-09 11:51:46","2018-07-09 11:51:46",false,,"Schwerst- und sterbenskranken Kindern eine intensivmedizinische und palliative Versorgung zu Hause zu gewährleisten.",,"New Record - Record added",,,,70390000001619200,"Joycelyn  "
zcrm_70390000001719192,Prince,test,zcrm_70390000001473010,test@projecttogether.org,,"Ivo Degn",zcrm_70390000000096001,"Ivo Degn",zcrm_70390000000096001,"2018-07-09 11:36:29","2018-07-09 11:51:46","2018-07-09 11:51:46",false,,"Die Idee ist ein simples Wasserentsalzungs-Tool aus recyceltem Kunststoff zu entwickeln und anschließend in Küstenregionen mit Trinkwassermangel herzustellen sowie zu vertreiben. (nach dem Enactus-Prinzip)",,"New Record - Record added",,,,70390000001619199,"Edyth  "
zcrm_70390000001719193,Cooke,test,zcrm_70390000001473010,test@projecttogether.org,,"Ivo Degn",zcrm_70390000000096001,"Ivo Degn",zcrm_70390000000096001,"2018-07-09 11:36:29","2018-07-09 11:51:46","2018-07-09 11:51:46",false,,"Applic-Aid is a social platform, which fights inequality in the educational system, by matching scholars from all sorts of scholarships, with less-privileged students who want to apply, which makes us a multiplier for future Young Leaders. 
It is a worldwide peer-to-peer mentoring for scholarship applications. Easy accessible and completly free.",,"New Record - Handynummer : Invalid data",,,,70390000001619198,"Tanya  "
zcrm_70390000001719194,Vincent,test,zcrm_70390000001473010,test@projecttogether.org,,"Ivo Degn",zcrm_70390000000096001,"Ivo Degn",zcrm_70390000000096001,"2018-07-09 11:36:29","2018-07-09 11:51:46","2018-07-09 11:51:46",false,,"Start Right e.V. ist eine studentische Initiative, die soziale Projekte durch pro bono Rechtsberatung unterstützt. Anfangs werden wir vorrangig im Vereins- und Gesellschaftsrecht beraten.",,"New Record - Record added",,,,70390000001619197,"Almeda  "
zcrm_70390000001719195,Shah,test,zcrm_70390000001473010,test@projecttogether.org,,"Ivo Degn",zcrm_70390000000096001,"Ivo Degn",zcrm_70390000000096001,"2018-07-09 11:36:29","2018-07-09 11:51:46","2018-07-09 11:51:46",false,,"Ich denke hier wird die Idee am besten beschrieben: 
http://nepals.de/index.php?id=5",,"New Record - PLZ : Invalid data",,,,70390000001619196,"Katia  "
